epoch,train_loss,train_acc,accuracy,sensitivity,specificity,kappa,auc,loss
1,1.3070298489997196,0.35764781491002573,0.5345,0.7534,0.9388,0.7357,0.9312,1.2143
2,0.9974568929034824,0.5202442159383034,0.6291,0.7354,0.9694,0.7892,0.9641,1.0189
3,0.8870828615209437,0.5674807197943444,0.6491,0.7848,0.9694,0.7877,0.9728,1.0557
4,0.8222528922833636,0.6063624678663239,0.6691,0.7848,0.9694,0.8115,0.9739,0.9592
5,0.7659440967601492,0.6301413881748072,0.7091,0.8161,0.9511,0.8007,0.9761,0.9517
6,0.6785998153464347,0.6696658097686375,0.7018,0.7803,0.9786,0.8311,0.9802,0.9734
7,0.6549947097667692,0.6892673521850899,0.7436,0.843,0.9633,0.8501,0.9794,0.9013
8,0.5877630633031494,0.7175449871465296,0.7455,0.843,0.9572,0.8566,0.9797,0.895
9,0.5716381124232759,0.7233290488431876,0.7455,0.7758,0.9786,0.8501,0.9802,0.9023
10,0.4996389080901992,0.75353470437018,0.7836,0.8744,0.9602,0.8751,0.9831,0.9115
11,0.49363780732249846,0.75353470437018,0.7473,0.7848,0.9755,0.8674,0.9772,0.9772
12,0.49416540364392464,0.7577120822622108,0.7691,0.8475,0.9602,0.8692,0.9795,0.9195
13,0.4642589300545292,0.7705655526992288,0.7727,0.7668,0.9755,0.8748,0.9762,0.9855
14,0.4214002035443305,0.7969151670951157,0.8127,0.8655,0.9664,0.8898,0.9803,0.9987
15,0.42061875479961425,0.7975578406169666,0.7964,0.8386,0.9664,0.8855,0.98,0.9652
16,0.40313141443946215,0.8026992287917738,0.7964,0.8251,0.9664,0.8783,0.9796,1.0546
17,0.3989247080743083,0.8062339331619537,0.7873,0.8206,0.9602,0.8801,0.979,1.0204
18,0.3935350850894856,0.8142673521850899,0.8109,0.8879,0.9511,0.8994,0.9817,0.9999
19,0.38200375842586504,0.8126606683804627,0.8073,0.8744,0.9541,0.8912,0.9798,1.0623
20,0.3892790228846677,0.8113753213367609,0.8055,0.861,0.9541,0.8881,0.979,1.0576
21,0.3798786225252256,0.8123393316195373,0.7964,0.8386,0.9572,0.8809,0.98,1.0819
22,0.37084276603826904,0.8309768637532133,0.8018,0.8475,0.9572,0.8808,0.9796,1.0775
23,0.37474276867616146,0.8197300771208226,0.8,0.843,0.9541,0.8861,0.9794,1.0883
24,0.38290785757733803,0.8197300771208226,0.8073,0.843,0.9602,0.8903,0.9797,1.0531
25,0.3670935554209627,0.8235861182519281,0.7945,0.8341,0.9602,0.8835,0.9779,1.0803
