epoch,train_loss,MA,HE,EX,SE,mean_auc,loss
1,0.7756951959044845,"{'f1': 0.0, 'auc': 0.3685}","{'f1': 0.0071, 'auc': 0.6073}","{'f1': 0.018, 'auc': 0.5642}","{'f1': 0.0, 'auc': 0.3081}",0.462,0.6996
2,0.7105829141758107,"{'f1': 0.0002, 'auc': 0.4058}","{'f1': 0.0018, 'auc': 0.6247}","{'f1': 0.0615, 'auc': 0.6487}","{'f1': 0.0009, 'auc': 0.4859}",0.5413,0.6636
3,0.66418531426677,"{'f1': 0.0003, 'auc': 0.3795}","{'f1': 0.0003, 'auc': 0.6502}","{'f1': 0.1069, 'auc': 0.6906}","{'f1': 0.0, 'auc': 0.4704}",0.5477,0.6262
4,0.6309618839511165,"{'f1': 0.0, 'auc': 0.3747}","{'f1': 0.0, 'auc': 0.6854}","{'f1': 0.2542, 'auc': 0.8551}","{'f1': 0.0, 'auc': 0.3062}",0.5554,0.6017
5,0.6042275230089823,"{'f1': 0.0, 'auc': 0.3495}","{'f1': 0.0, 'auc': 0.6638}","{'f1': 0.304, 'auc': 0.8663}","{'f1': 0.0, 'auc': 0.391}",0.5676,0.5879
6,0.583628914974354,"{'f1': 0.0, 'auc': 0.3554}","{'f1': 0.0, 'auc': 0.622}","{'f1': 0.4139, 'auc': 0.8571}","{'f1': 0.0, 'auc': 0.5223}",0.5892,0.5705
7,0.5683275792333815,"{'f1': 0.0, 'auc': 0.3832}","{'f1': 0.0, 'auc': 0.6015}","{'f1': 0.4386, 'auc': 0.9172}","{'f1': 0.0, 'auc': 0.6502}",0.638,0.5569
8,0.5539852491131535,"{'f1': 0.0, 'auc': 0.343}","{'f1': 0.0, 'auc': 0.6188}","{'f1': 0.5222, 'auc': 0.9107}","{'f1': 0.0, 'auc': 0.6218}",0.6236,0.5431
9,0.5431513101966293,"{'f1': 0.0, 'auc': 0.482}","{'f1': 0.0, 'auc': 0.7131}","{'f1': 0.4926, 'auc': 0.9424}","{'f1': 0.0, 'auc': 0.7797}",0.7293,0.5322
10,0.5328764496026216,"{'f1': 0.0, 'auc': 0.3993}","{'f1': 0.0, 'auc': 0.7}","{'f1': 0.5683, 'auc': 0.9343}","{'f1': 0.0, 'auc': 0.8236}",0.7143,0.5224
11,0.5254843477849607,"{'f1': 0.0, 'auc': 0.3791}","{'f1': 0.0, 'auc': 0.671}","{'f1': 0.5891, 'auc': 0.9442}","{'f1': 0.0, 'auc': 0.8767}",0.7177,0.5117
12,0.5201117771643179,"{'f1': 0.0, 'auc': 0.481}","{'f1': 0.0, 'auc': 0.7025}","{'f1': 0.4904, 'auc': 0.9665}","{'f1': 0.0, 'auc': 0.9299}",0.77,0.5034
13,0.5135054235105161,"{'f1': 0.0, 'auc': 0.51}","{'f1': 0.0, 'auc': 0.7525}","{'f1': 0.5206, 'auc': 0.9677}","{'f1': 0.0, 'auc': 0.9173}",0.7869,0.4964
14,0.5086413710205643,"{'f1': 0.0, 'auc': 0.4587}","{'f1': 0.0, 'auc': 0.7939}","{'f1': 0.5201, 'auc': 0.966}","{'f1': 0.0, 'auc': 0.9213}",0.785,0.4891
15,0.502827869521247,"{'f1': 0.0, 'auc': 0.4832}","{'f1': 0.0, 'auc': 0.7988}","{'f1': 0.5085, 'auc': 0.9668}","{'f1': 0.0002, 'auc': 0.9506}",0.7999,0.4819
16,0.49829305542839897,"{'f1': 0.0, 'auc': 0.4606}","{'f1': 0.0, 'auc': 0.8142}","{'f1': 0.5892, 'auc': 0.9587}","{'f1': 0.003, 'auc': 0.9416}",0.7938,0.4733
17,0.4908197555277083,"{'f1': 0.0, 'auc': 0.527}","{'f1': 0.0, 'auc': 0.8524}","{'f1': 0.6019, 'auc': 0.9604}","{'f1': 0.0044, 'auc': 0.9386}",0.8196,0.4702
18,0.4869442074387162,"{'f1': 0.0, 'auc': 0.6855}","{'f1': 0.0, 'auc': 0.8754}","{'f1': 0.4245, 'auc': 0.975}","{'f1': 0.0285, 'auc': 0.9793}",0.8788,0.4703
19,0.47865096728007,"{'f1': 0.0, 'auc': 0.5694}","{'f1': 0.0, 'auc': 0.8479}","{'f1': 0.4464, 'auc': 0.9798}","{'f1': 0.0016, 'auc': 0.9645}",0.8404,0.4613
20,0.4743366848539423,"{'f1': 0.0, 'auc': 0.6398}","{'f1': 0.0, 'auc': 0.8926}","{'f1': 0.5476, 'auc': 0.9697}","{'f1': 0.0025, 'auc': 0.9622}",0.8661,0.4528
21,0.46852382576024093,"{'f1': 0.0, 'auc': 0.5821}","{'f1': 0.0, 'auc': 0.8992}","{'f1': 0.4644, 'auc': 0.9817}","{'f1': 0.0251, 'auc': 0.9823}",0.8613,0.4479
22,0.46474811986640646,"{'f1': 0.0, 'auc': 0.6015}","{'f1': 0.0, 'auc': 0.9077}","{'f1': 0.5502, 'auc': 0.9753}","{'f1': 0.0355, 'auc': 0.9603}",0.8612,0.4344
23,0.45438828843611256,"{'f1': 0.0, 'auc': 0.6073}","{'f1': 0.0, 'auc': 0.9305}","{'f1': 0.5887, 'auc': 0.9689}","{'f1': 0.0868, 'auc': 0.9705}",0.8693,0.4209
